method,rate,scene,idx,path,musiq,maniqa,clipiqa,niqe
3DCR,high,bicycle,00000,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00000/3DCR@high.png,70.54452514648438,0.3352656960487366,0.4300220012664795,2.5121205504892803
3DCR,high,bicycle,00001,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00001/3DCR@high.png,69.98160552978516,0.3297179937362671,0.3620324730873108,2.2232997513982875
3DCR,high,bicycle,00002,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00002/3DCR@high.png,72.9488296508789,0.36136767268180847,0.44059792160987854,2.1540868502282193
3DCR,high,bicycle,00003,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00003/3DCR@high.png,74.15595245361328,0.3514617085456848,0.4282894730567932,2.2096671583476692
3DCR,high,bicycle,00004,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00004/3DCR@high.png,67.6526107788086,0.3124985694885254,0.45649653673171997,2.361363160181528
3DCR,high,bicycle,00005,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00005/3DCR@high.png,74.43829345703125,0.3460947275161743,0.42948079109191895,2.5076441888783463
3DCR,high,bicycle,00006,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00006/3DCR@high.png,74.3825454711914,0.3469376862049103,0.4726477563381195,2.306167623341823
3DCR,high,bicycle,00007,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00007/3DCR@high.png,69.99642181396484,0.32556092739105225,0.4294065535068512,2.4614001926602347
3DCR,high,bicycle,00008,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00008/3DCR@high.png,73.2470932006836,0.3459627628326416,0.3528842628002167,2.5893149991362976
3DCR,high,bicycle,00009,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00009/3DCR@high.png,74.4190673828125,0.3389834761619568,0.4051934778690338,2.512337201131255
3DCR,high,bicycle,00010,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00010/3DCR@high.png,73.4400863647461,0.3680129647254944,0.4382903277873993,2.0471179877969576
3DCR,high,bicycle,00011,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00011/3DCR@high.png,71.84566497802734,0.3721123933792114,0.45579519867897034,2.2742856095483504
3DCR,high,bicycle,00012,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00012/3DCR@high.png,67.5449447631836,0.3226523697376251,0.38401079177856445,2.0873023982035344
3DCR,high,bicycle,00013,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00013/3DCR@high.png,70.71762084960938,0.3091110289096832,0.4438975751399994,2.328662389951236
3DCR,high,bicycle,00014,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00014/3DCR@high.png,73.16761016845703,0.35927942395210266,0.4290235638618469,2.2307373039826373
3DCR,high,bicycle,00015,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00015/3DCR@high.png,73.96763610839844,0.3522234261035919,0.39419206976890564,2.2903028391716145
3DCR,high,bicycle,00016,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00016/3DCR@high.png,73.53158569335938,0.3650619089603424,0.40135350823402405,2.210639301440044
3DCR,high,bicycle,00017,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00017/3DCR@high.png,63.788639068603516,0.3001336455345154,0.36154159903526306,2.2647997730339875
3DCR,high,bicycle,00018,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00018/3DCR@high.png,66.03358459472656,0.3101442754268646,0.4283261001110077,2.3474830713119363
3DCR,high,bicycle,00019,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00019/3DCR@high.png,71.8597640991211,0.34672030806541443,0.4745912551879883,2.3080937202139444
3DCR,high,bicycle,00020,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00020/3DCR@high.png,70.29285430908203,0.3386417627334595,0.3842010498046875,2.7694952302400146
3DCR,high,bicycle,00021,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00021/3DCR@high.png,72.61038970947266,0.36524543166160583,0.3772052228450775,2.385656281721177
3DCR,high,bicycle,00022,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00022/3DCR@high.png,73.00374603271484,0.3815309405326843,0.4160882532596588,2.33764459634461
3DCR,high,bicycle,00023,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00023/3DCR@high.png,72.4968032836914,0.356097936630249,0.3957771062850952,2.263657437509206
3DCR,high,bicycle,00024,/work/u4546465/evaluation/CAT3DGSPro_organized/bicycle_00024/3DCR@high.png,70.8065185546875,0.34408140182495117,0.42880555987358093,2.696202026559093
3DCR,high,bonsai,00000,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00000/3DCR@high.png,61.70922088623047,0.21559561789035797,0.2870956361293793,4.5444525762434855
3DCR,high,bonsai,00001,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00001/3DCR@high.png,65.02085876464844,0.26174023747444153,0.3054967522621155,5.524675399818428
3DCR,high,bonsai,00002,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00002/3DCR@high.png,65.03203582763672,0.2760195732116699,0.3655529022216797,5.2757557750928745
3DCR,high,bonsai,00003,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00003/3DCR@high.png,61.6867790222168,0.2989332377910614,0.34228435158729553,5.748388543919478
3DCR,high,bonsai,00004,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00004/3DCR@high.png,63.05864715576172,0.24917559325695038,0.24906158447265625,5.312503009822064
3DCR,high,bonsai,00005,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00005/3DCR@high.png,64.02808380126953,0.20552796125411987,0.30432137846946716,4.423160685516098
3DCR,high,bonsai,00006,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00006/3DCR@high.png,62.30961990356445,0.23277300596237183,0.287393718957901,5.168368929441447
3DCR,high,bonsai,00007,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00007/3DCR@high.png,59.67383575439453,0.23168380558490753,0.33758386969566345,4.808274089101428
3DCR,high,bonsai,00008,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00008/3DCR@high.png,63.77813720703125,0.20469346642494202,0.33318597078323364,4.875376702720371
3DCR,high,bonsai,00009,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00009/3DCR@high.png,61.86150360107422,0.23449641466140747,0.33322378993034363,5.126409286407121
3DCR,high,bonsai,00010,/work/u4546465/evaluation/CAT3DGSPro_organized/bonsai_00010/3DCR@high.png,62.28382873535156,0.22141209244728088,0.27454549074172974,5.546133369146852
